Energy Small-RG-Drude Small-Mie-Graphite Small-Mie-Silicate Big-RG-Drude Big-Mie-Graphite Big-Mie-Silicate
0.5 0.032557203295 0.0237821840504 0.0254929078085 0.32557203295 0.0436859340514 0.0152979174505
0.552631578947 0.0266511346701 0.0197456439886 0.0224722939592 0.266511346701 0.0453790074414 0.0167835500228
0.605263157895 0.0222176755945 0.0165913242298 0.0198215955567 0.222176755945 0.0459388617351 0.0184302262592
0.657894736842 0.0188050406232 0.0141018536462 0.0176381588637 0.188050406232 0.0456635596949 0.0196534980749
0.710526315789 0.0161222913436 0.0121286400493 0.0158139737135 0.161222913436 0.0448625591924 0.0207683871711
0.763157894737 0.0139752085488 0.0105577112253 0.0141960740302 0.139752085488 0.043770123239 0.0217531931869
0.815789473684 0.0122301252752 0.00926095321881 0.012768125188 0.122301252752 0.0423153944937 0.0226673959237
0.868421052632 0.0107926082548 0.00816664448519 0.0115590894782 0.107926082548 0.0405467978396 0.0233458999653
0.921052631579 0.00959440848123 0.00726223827557 0.0104535231109 0.0959440848123 0.0387517464556 0.0238348555389
0.973684210526 0.00858520846567 0.00649842618613 0.00952636644925 0.0858520846567 0.0369069095002 0.024132558898
1.02631578947 0.00772725206411 0.0058408550871 0.00870673678979 0.0772725206411 0.0350140156671 0.0242478521698
1.07894736842 0.00699176108834 0.00528535937081 0.00796858712929 0.0699176108834 0.0332407830934 0.0243144633504
1.13157894737 0.00635649020525 0.00481503154838 0.00733446645446 0.0635649020525 0.0315787126638 0.0242231290592
1.18421052632 0.00580402488371 0.00440790709793 0.00675049922287 0.0580402488371 0.0299969572711 0.0240066758595
1.23684210526 0.00532057509711 0.004050781475 0.00624320210214 0.0532057509711 0.0284695817285 0.0237214355515
1.28947368421 0.00489510636797 0.00373122619616 0.00580218129463 0.0489510636797 0.0269789860835 0.0233811464173
1.34210526316 0.00451870449424 0.00344189483633 0.00539756742376 0.0451870449424 0.0255115830734 0.0229580555219
1.39473684211 0.00418410480224 0.00318452551228 0.00502409094611 0.0418410480224 0.0241319983771 0.0225125220792
1.44736842105 0.00388533897174 0.00295752885236 0.00469240487293 0.0388533897174 0.0228612639647 0.0220198679228
1.5 0.00361746703278 0.00275532796972 0.00438717608847 0.0361746703278 0.0216818508913 0.021510784836
