Grainsize RG-Drude Mie-Graphite Mie-Silicate
0.1 0.032557203295 0.0237821840504 0.0254929078085
0.147368421053 0.0479790364348 0.0331038518669 0.0336182180838
0.194736842105 0.0634008695745 0.0410641512947 0.0393913968092
0.242105263158 0.0788227027143 0.0476556453879 0.0430622882094
0.289473684211 0.094244535854 0.0529177217994 0.0449299954848
0.336842105263 0.109666368994 0.0569263811373 0.0453145568063
0.384210526316 0.125088202134 0.0597839091423 0.0445335416291
0.431578947368 0.140510035273 0.0616092049525 0.0428843574222
0.478947368421 0.155931868413 0.0625292988841 0.0406322955126
0.526315789474 0.171353701553 0.0626723705042 0.0380038023208
0.573684210526 0.186775534693 0.062162381952 0.0351841248987
0.621052631579 0.202197367832 0.0611152837319 0.0323183215481
0.668421052632 0.217619200972 0.0596366360622 0.0295146133942
0.715789473684 0.233041034112 0.0578204182399 0.0268491409788
0.763157894737 0.248462867252 0.0557487668643 0.0243713423222
0.810526315789 0.263884700391 0.0534923838826 0.0221093513587
0.857894736842 0.279306533531 0.051111378642 0.0200750009471
0.905263157895 0.294728366671 0.048656345777 0.0182681831956
0.952631578947 0.310150199811 0.0461695250664 0.016680459458
1.0 0.32557203295 0.0436859340514 0.0152979174505
