Energy DDist-Mie-Graphite DDist-Mie-Silicate
0.5 0.051177601075 0.0342351412928
0.552631578947 0.0470856306333 0.0331997003981
0.605263157895 0.0431556650894 0.0321455351865
0.657894736842 0.0394853470465 0.0307457059299
0.710526315789 0.0361625521271 0.0295131087743
0.763157894737 0.0332209220863 0.028323561673
0.815789473684 0.0305049760369 0.0271626904404
0.868421052632 0.0279670236606 0.0260265857281
0.921052631579 0.0257200091197 0.0248469367642
0.973684210526 0.023691117176 0.023751511
1.02631578947 0.021833327791 0.0226481925382
1.07894736842 0.0202003244193 0.0216170902001
1.13157894737 0.0187615779277 0.0206211123789
1.18421052632 0.0174699023687 0.0196378965785
1.23684210526 0.0162937457502 0.0187049872433
1.28947368421 0.0152050266655 0.0178636762497
1.34210526316 0.0141859331554 0.0170387661845
1.39473684211 0.0132585060486 0.0162533642479
1.44736842105 0.012425423036 0.0155102182993
1.5 0.0116704284715 0.0148039608661
